# ZAP false-positive suppression rules for Next.js / Netlify
# Format: rule_id	ACTION	parameter	value
# Actions: IGNORE | WARN | FAIL

# Next.js static assets are intentionally cacheable
10049	IGNORE	(Storable and Cacheable Content)

# Next.js chunks use inline scripts — acceptable, real CSP needs nonce/hash
10055	IGNORE	(CSP: script-src unsafe-inline)
10096	IGNORE	(Timestamp Disclosure)

# Netlify adds its own cookies (nf_*) without flags we can't control
10011	IGNORE	(Cookie Without Secure Flag)
10010	IGNORE	(Cookie No HttpOnly Flag)

# next/font preload links — not sensitive
10108	IGNORE	(Reverse Tabnabbing)
